start_lat,start_lon,end_lat,end_lon,time_slot,hour,weekday,graphhopper_seconds,google_maps_seconds,distance_meters
24.783808556214748,120.98294778466115,24.773011473259658,120.94981956460065,周一晚峰,18,0,721.962,1088.0,7277.831
24.783808556214748,120.98294778466115,24.773011473259658,120.94981956460065,周一下午,14,0,721.962,1053.0,7277.831
24.783808556214748,120.98294778466115,24.773011473259658,120.94981956460065,周六,10,5,721.962,1060.0,7277.831
24.757099308600903,120.9867992661543,24.772894178381115,121.01148780117055,周一早峰,8,0,274.341,720.0,4291.443
24.757099308600903,120.9867992661543,24.772894178381115,121.01148780117055,周一晚峰,18,0,274.341,373.0,4291.443
24.757099308600903,120.9867992661543,24.772894178381115,121.01148780117055,周一下午,14,0,274.341,301.0,4291.443
24.757099308600903,120.9867992661543,24.772894178381115,121.01148780117055,周六,10,5,274.341,282.0,4291.443
24.835963540025375,120.93637716148999,24.7738004634369,120.99020800004666,周一早峰,8,0,788.396,1775.0,11036.264
24.835963540025375,120.93637716148999,24.7738004634369,120.99020800004666,周一晚峰,18,0,788.396,1615.0,11036.264
24.835963540025375,120.93637716148999,24.7738004634369,120.99020800004666,周一下午,14,0,788.396,1551.0,11036.264
24.835963540025375,120.93637716148999,24.7738004634369,120.99020800004666,周六,10,5,788.396,1640.0,11036.264
24.771423680737044,120.94190806638525,24.84355142405807,120.98139387839927,周一早峰,8,0,1020.926,1972.0,11817.354
24.771423680737044,120.94190806638525,24.84355142405807,120.98139387839927,周一晚峰,18,0,1020.926,1945.0,11817.354
24.771423680737044,120.94190806638525,24.84355142405807,120.98139387839927,周一下午,14,0,1020.926,1872.0,11817.354
24.771423680737044,120.94190806638525,24.84355142405807,120.98139387839927,周六,10,5,1020.926,1847.0,11817.354
24.79726710263118,121.00061574818616,24.830749699776664,120.94713689229258,周一早峰,8,0,874.889,1654.0,8834.844
24.79726710263118,121.00061574818616,24.830749699776664,120.94713689229258,周一晚峰,18,0,874.889,1616.0,8834.844
24.79726710263118,121.00061574818616,24.830749699776664,120.94713689229258,周一下午,14,0,874.889,1465.0,8834.844
24.79726710263118,121.00061574818616,24.830749699776664,120.94713689229258,周六,10,5,874.889,1508.0,8834.844
24.75969308142288,120.96879460641658,24.792357862301994,120.9720322201233,周一早峰,8,0,531.108,1051.0,5536.037
24.75969308142288,120.96879460641658,24.792357862301994,120.9720322201233,周一晚峰,18,0,531.108,866.0,5536.037
24.75969308142288,120.96879460641658,24.792357862301994,120.9720322201233,周一下午,14,0,531.108,772.0,5536.037
24.75969308142288,120.96879460641658,24.792357862301994,120.9720322201233,周六,10,5,531.108,798.0,5536.037
24.822907584945987,120.9906028092564,24.8484165211366,120.93885760840368,周一早峰,8,0,598.006,573.0,6940.335
24.822907584945987,120.9906028092564,24.8484165211366,120.93885760840368,周一晚峰,18,0,598.006,498.0,6940.335
24.822907584945987,120.9906028092564,24.8484165211366,120.93885760840368,周一下午,14,0,598.006,442.0,6940.335
24.822907584945987,120.9906028092564,24.8484165211366,120.93885760840368,周六,10,5,598.006,485.0,6940.335
24.790262128210227,120.96053723448556,24.83616725363528,120.95237907005283,周一早峰,8,0,514.283,1009.0,7552.188
24.790262128210227,120.96053723448556,24.83616725363528,120.95237907005283,周一晚峰,18,0,514.283,991.0,7552.188
24.790262128210227,120.96053723448556,24.83616725363528,120.95237907005283,周一下午,14,0,514.283,949.0,7552.188
24.790262128210227,120.96053723448556,24.83616725363528,120.95237907005283,周六,10,5,514.283,1018.0,7552.188
24.769020890844082,120.97037521930498,24.79218816398344,120.95506906302003,周一早峰,8,0,357.896,742.0,3962.694
24.769020890844082,120.97037521930498,24.79218816398344,120.95506906302003,周一晚峰,18,0,357.896,749.0,3962.694
24.769020890844082,120.97037521930498,24.79218816398344,120.95506906302003,周一下午,14,0,357.896,683.0,3962.694
24.769020890844082,120.97037521930498,24.79218816398344,120.95506906302003,周六,10,5,357.896,719.0,3962.694
24.77498064478821,121.01309390393484,24.794313074505347,121.00752141942856,周一早峰,8,0,195.496,514.0,3089.677
24.77498064478821,121.01309390393484,24.794313074505347,121.00752141942856,周一晚峰,18,0,195.496,620.0,3089.677
24.77498064478821,121.01309390393484,24.794313074505347,121.00752141942856,周一下午,14,0,195.496,425.0,3089.677
24.77498064478821,121.01309390393484,24.794313074505347,121.00752141942856,周六,10,5,195.496,396.0,3089.677
24.805032531244986,120.93455294965725,24.849928246841273,121.0052424826572,周一早峰,8,0,707.599,1664.0,10093.722
24.805032531244986,120.93455294965725,24.849928246841273,121.0052424826572,周一晚峰,18,0,707.599,1512.0,10093.722
24.805032531244986,120.93455294965725,24.849928246841273,121.0052424826572,周一下午,14,0,707.599,1510.0,10093.722
24.805032531244986,120.93455294965725,24.849928246841273,121.0052424826572,周六,10,5,707.599,1470.0,10093.722
24.846899625728476,121.01337302847072,24.83486957344143,120.94496799995436,周一早峰,8,0,703.149,1218.0,8680.988
24.846899625728476,121.01337302847072,24.83486957344143,120.94496799995436,周一晚峰,18,0,703.149,1291.0,8680.988
24.846899625728476,121.01337302847072,24.83486957344143,120.94496799995436,周一下午,14,0,703.149,1132.0,8680.988
24.846899625728476,121.01337302847072,24.83486957344143,120.94496799995436,周六,10,5,703.149,1144.0,8680.988
24.798564112545073,120.94923725692793,24.790104029254945,120.9352771859975,周一早峰,8,0,137.912,427.0,1980.684
24.798564112545073,120.94923725692793,24.790104029254945,120.9352771859975,周一晚峰,18,0,137.912,419.0,1980.684
24.798564112545073,120.94923725692793,24.790104029254945,120.9352771859975,周一下午,14,0,137.912,398.0,1980.684
24.798564112545073,120.94923725692793,24.790104029254945,120.9352771859975,周六,10,5,137.912,394.0,1980.684
24.78789731189769,121.01867779594018,24.776520305817215,121.00056635417538,周一早峰,8,0,290.457,975.0,3621.775
24.78789731189769,121.01867779594018,24.776520305817215,121.00056635417538,周一晚峰,18,0,290.457,764.0,3621.775
24.78789731189769,121.01867779594018,24.776520305817215,121.00056635417538,周一下午,14,0,290.457,641.0,3621.775
24.78789731189769,121.01867779594018,24.776520305817215,121.00056635417538,周六,10,5,290.457,681.0,3621.775
24.795500836733915,120.96807067373912,24.84573176408597,121.01958804205434,周一早峰,8,0,611.349,1952.0,8491.718
24.795500836733915,120.96807067373912,24.84573176408597,121.01958804205434,周一晚峰,18,0,611.349,1672.0,8491.718
24.795500836733915,120.96807067373912,24.84573176408597,121.01958804205434,周一下午,14,0,611.349,1493.0,8491.718
24.795500836733915,120.96807067373912,24.84573176408597,121.01958804205434,周六,10,5,611.349,1553.0,8491.718
24.805576832340563,120.99465674477666,24.765479682527406,120.95670370429451,周一早峰,8,0,644.564,846.0,8261.284
24.805576832340563,120.99465674477666,24.765479682527406,120.95670370429451,周一晚峰,18,0,644.564,774.0,8261.284
24.805576832340563,120.99465674477666,24.765479682527406,120.95670370429451,周一下午,14,0,644.564,672.0,8261.284
24.805576832340563,120.99465674477666,24.765479682527406,120.95670370429451,周六,10,5,644.564,860.0,8261.284
24.846870936496916,120.98212622617346,24.80421952013743,120.99731780043412,周一早峰,8,0,500.994,1041.0,6414.795
24.846870936496916,120.98212622617346,24.80421952013743,120.99731780043412,周一晚峰,18,0,500.994,981.0,6414.795
24.846870936496916,120.98212622617346,24.80421952013743,120.99731780043412,周一下午,14,0,500.994,930.0,6414.795
24.846870936496916,120.98212622617346,24.80421952013743,120.99731780043412,周六,10,5,500.994,1006.0,6414.795
24.755716527290748,120.9825759835013,24.800285038291953,121.00674479028434,周一早峰,8,0,587.322,1298.0,8011.676
24.755716527290748,120.9825759835013,24.800285038291953,121.00674479028434,周一晚峰,18,0,587.322,1055.0,8011.676
24.755716527290748,120.9825759835013,24.800285038291953,121.00674479028434,周一下午,14,0,587.322,939.0,8011.676
24.755716527290748,120.9825759835013,24.800285038291953,121.00674479028434,周六,10,5,587.322,938.0,8011.676
24.765743272793948,121.0164701012947,24.75801114652406,120.94672424648827,周一早峰,8,0,484.028,833.0,8341.741
24.765743272793948,121.0164701012947,24.75801114652406,120.94672424648827,周一晚峰,18,0,484.028,990.0,8341.741
24.765743272793948,121.0164701012947,24.75801114652406,120.94672424648827,周一下午,14,0,484.028,729.0,8341.741
24.765743272793948,121.0164701012947,24.75801114652406,120.94672424648827,周六,10,5,484.028,772.0,8341.741
24.809503510645005,120.99076912982437,24.773520389500092,120.94078979525524,周一早峰,8,0,786.876,1475.0,8220.816
24.809503510645005,120.99076912982437,24.773520389500092,120.94078979525524,周一晚峰,18,0,786.876,1346.0,8220.816
24.809503510645005,120.99076912982437,24.773520389500092,120.94078979525524,周一下午,14,0,786.876,1249.0,8220.816
24.809503510645005,120.99076912982437,24.773520389500092,120.94078979525524,周六,10,5,786.876,1499.0,8220.816
24.839028731412945,120.95215938130099,24.809451915353346,120.9857443359299,周一早峰,8,0,638.225,857.0,6142.668
24.839028731412945,120.95215938130099,24.809451915353346,120.9857443359299,周一晚峰,18,0,638.225,842.0,6142.668
24.839028731412945,120.95215938130099,24.809451915353346,120.9857443359299,周一下午,14,0,638.225,783.0,6142.668
24.839028731412945,120.95215938130099,24.809451915353346,120.9857443359299,周六,10,5,638.225,892.0,6142.668
24.791922491533587,120.98253050603621,24.802278271553195,121.01412356319628,周一早峰,8,0,565.188,1098.0,5693.271
24.791922491533587,120.98253050603621,24.802278271553195,121.01412356319628,周一晚峰,18,0,565.188,1035.0,5693.271
24.791922491533587,120.98253050603621,24.802278271553195,121.01412356319628,周一下午,14,0,565.188,858.0,5693.271
24.791922491533587,120.98253050603621,24.802278271553195,121.01412356319628,周六,10,5,565.188,904.0,5693.271
24.770425919942355,120.99445726207105,24.773868595261586,120.96562072621121,周一早峰,8,0,329.181,627.0,3965.391
24.770425919942355,120.99445726207105,24.773868595261586,120.96562072621121,周一晚峰,18,0,329.181,597.0,3965.391
24.770425919942355,120.99445726207105,24.773868595261586,120.96562072621121,周一下午,14,0,329.181,518.0,3965.391
24.770425919942355,120.99445726207105,24.773868595261586,120.96562072621121,周六,10,5,329.181,537.0,3965.391
24.817169022296,120.95699973718189,24.781617719627185,120.99766780431729,周一早峰,8,0,485.81,1381.0,6671.432
24.817169022296,120.95699973718189,24.781617719627185,120.99766780431729,周一晚峰,18,0,485.81,1291.0,6671.432
24.817169022296,120.95699973718189,24.781617719627185,120.99766780431729,周一下午,14,0,485.81,1128.0,6671.432
24.817169022296,120.95699973718189,24.781617719627185,120.99766780431729,周六,10,5,485.81,1163.0,6671.432
24.757254311449316,120.97124569703567,24.849845444085446,121.01964868030696,周一早峰,8,0,759.594,1967.0,13990.37
24.757254311449316,120.97124569703567,24.849845444085446,121.01964868030696,周一晚峰,18,0,759.594,1601.0,13990.37
24.757254311449316,120.97124569703567,24.849845444085446,121.01964868030696,周一下午,14,0,759.594,1293.0,13990.37
24.757254311449316,120.97124569703567,24.849845444085446,121.01964868030696,周六,10,5,759.594,1304.0,13990.37
24.757326072109965,120.94918388810405,24.77652004147504,121.01399334401943,周一早峰,8,0,498.856,1290.0,8404.261
24.757326072109965,120.94918388810405,24.77652004147504,121.01399334401943,周一晚峰,18,0,498.856,858.0,8404.261
24.757326072109965,120.94918388810405,24.77652004147504,121.01399334401943,周一下午,14,0,498.856,752.0,8404.261
24.757326072109965,120.94918388810405,24.77652004147504,121.01399334401943,周六,10,5,498.856,779.0,8404.261
24.838086417368647,121.00913432182361,24.78695270887389,120.94419721491215,周一早峰,8,0,761.503,1646.0,10633.815
24.838086417368647,121.00913432182361,24.78695270887389,120.94419721491215,周一晚峰,18,0,761.503,1777.0,10633.815
24.838086417368647,121.00913432182361,24.78695270887389,120.94419721491215,周一下午,14,0,761.503,1504.0,10633.815
24.838086417368647,121.00913432182361,24.78695270887389,120.94419721491215,周六,10,5,761.503,1652.0,10633.815
24.833374495463982,120.99331859325787,24.811167776572596,121.01885097572683,周一早峰,8,0,346.787,775.0,4665.273
24.833374495463982,120.99331859325787,24.811167776572596,121.01885097572683,周一晚峰,18,0,346.787,726.0,4665.273
24.833374495463982,120.99331859325787,24.811167776572596,121.01885097572683,周一下午,14,0,346.787,642.0,4665.273
24.833374495463982,120.99331859325787,24.811167776572596,121.01885097572683,周六,10,5,346.787,693.0,4665.273
24.815397631771074,120.9307040796437,24.831710413511548,120.956944087698,周一早峰,8,0,793.966,1163.0,10821.811
24.815397631771074,120.9307040796437,24.831710413511548,120.956944087698,周一晚峰,18,0,793.966,1140.0,10821.811
24.815397631771074,120.9307040796437,24.831710413511548,120.956944087698,周一下午,14,0,793.966,1096.0,10821.811
24.815397631771074,120.9307040796437,24.831710413511548,120.956944087698,周六,10,5,793.966,1112.0,10821.811
24.816338871496608,121.01450370035343,24.763429111439336,120.94038858033772,周一早峰,8,0,917.082,1407.0,14532.588
24.816338871496608,121.01450370035343,24.763429111439336,120.94038858033772,周一晚峰,18,0,917.082,1235.0,14532.588
24.816338871496608,121.01450370035343,24.763429111439336,120.94038858033772,周一下午,14,0,917.082,1135.0,14532.588
24.816338871496608,121.01450370035343,24.763429111439336,120.94038858033772,周六,10,5,917.082,1509.0,14532.588
24.76070359777094,120.97979012767964,24.77723482123148,120.98443468443271,周一早峰,8,0,309.841,485.0,3037.301
24.76070359777094,120.97979012767964,24.77723482123148,120.98443468443271,周一晚峰,18,0,309.841,441.0,3037.301
24.76070359777094,120.97979012767964,24.77723482123148,120.98443468443271,周一下午,14,0,309.841,372.0,3037.301
24.76070359777094,120.97979012767964,24.77723482123148,120.98443468443271,周六,10,5,309.841,403.0,3037.301
24.82176121871388,120.94832375810948,24.813423795888507,120.95375855114673,周一早峰,8,0,206.107,268.0,1164.707
24.82176121871388,120.94832375810948,24.813423795888507,120.95375855114673,周一晚峰,18,0,206.107,263.0,1164.707
24.82176121871388,120.94832375810948,24.813423795888507,120.95375855114673,周一下午,14,0,206.107,260.0,1164.707
24.82176121871388,120.94832375810948,24.813423795888507,120.95375855114673,周六,10,5,206.107,262.0,1164.707
24.798853185214938,121.01148028419713,24.834610371329486,120.93830686209415,周一早峰,8,0,1202.129,1685.0,12713.458
24.798853185214938,121.01148028419713,24.834610371329486,120.93830686209415,周一晚峰,18,0,1202.129,1716.0,12713.458
24.798853185214938,121.01148028419713,24.834610371329486,120.93830686209415,周一下午,14,0,1202.129,1537.0,12713.458
24.798853185214938,121.01148028419713,24.834610371329486,120.93830686209415,周六,10,5,1202.129,1560.0,12713.458
24.79235757725637,120.95490122015751,24.75035456890878,120.99940073007177,周一早峰,8,0,674.656,1354.0,8564.231
24.79235757725637,120.95490122015751,24.75035456890878,120.99940073007177,周一晚峰,18,0,674.656,1144.0,8564.231
24.79235757725637,120.95490122015751,24.75035456890878,120.99940073007177,周一下午,14,0,674.656,1180.0,8564.231
24.79235757725637,120.95490122015751,24.75035456890878,120.99940073007177,周六,10,5,674.656,1224.0,8564.231
24.81371133773014,120.9535759736191,24.824123090834796,120.97965123790138,周一早峰,8,0,264.322,454.0,3401.329
24.81371133773014,120.9535759736191,24.824123090834796,120.97965123790138,周一晚峰,18,0,264.322,435.0,3401.329
24.81371133773014,120.9535759736191,24.824123090834796,120.97965123790138,周一下午,14,0,264.322,421.0,3401.329
24.81371133773014,120.9535759736191,24.824123090834796,120.97965123790138,周六,10,5,264.322,426.0,3401.329
24.79276869189807,120.93087027296475,24.757524386007375,121.00947957539701,周一早峰,8,0,1347.567,2001.0,26833.95
24.79276869189807,120.93087027296475,24.757524386007375,121.00947957539701,周一晚峰,18,0,1347.567,1740.0,26833.95
24.79276869189807,120.93087027296475,24.757524386007375,121.00947957539701,周一下午,14,0,1347.567,1723.0,26833.95
24.79276869189807,120.93087027296475,24.757524386007375,121.00947957539701,周六,10,5,1347.567,1835.0,26833.95
24.84039285715599,120.97910312602849,24.833459501988603,120.98242586098408,周一早峰,8,0,125.701,226.0,1672.545
24.84039285715599,120.97910312602849,24.833459501988603,120.98242586098408,周一晚峰,18,0,125.701,211.0,1672.545
24.84039285715599,120.97910312602849,24.833459501988603,120.98242586098408,周一下午,14,0,125.701,197.0,1672.545
24.84039285715599,120.97910312602849,24.833459501988603,120.98242586098408,周六,10,5,125.701,201.0,1672.545
24.76480937855675,120.9414700967354,24.780825834993014,121.01090833398683,周一早峰,8,0,679.062,1397.0,11538.902
24.76480937855675,120.9414700967354,24.780825834993014,121.01090833398683,周一晚峰,18,0,679.062,1018.0,11538.902
24.76480937855675,120.9414700967354,24.780825834993014,121.01090833398683,周一下午,14,0,679.062,875.0,11538.902
24.76480937855675,120.9414700967354,24.780825834993014,121.01090833398683,周六,10,5,679.062,965.0,11538.902
24.829612230488806,121.00746323238008,24.83989246365265,120.94890688845058,周一早峰,8,0,508.978,1029.0,7050.455
24.829612230488806,121.00746323238008,24.83989246365265,120.94890688845058,周一晚峰,18,0,508.978,1019.0,7050.455
24.829612230488806,121.00746323238008,24.83989246365265,120.94890688845058,周一下午,14,0,508.978,944.0,7050.455
24.829612230488806,121.00746323238008,24.83989246365265,120.94890688845058,周六,10,5,508.978,899.0,7050.455
24.774952973922293,120.93925142595046,24.828011624187145,121.00957212313058,周一早峰,8,0,1042.642,2094.0,11799.327
24.774952973922293,120.93925142595046,24.828011624187145,121.00957212313058,周一晚峰,18,0,1042.642,1767.0,11799.327
24.774952973922293,120.93925142595046,24.828011624187145,121.00957212313058,周一下午,14,0,1042.642,1472.0,11799.327
24.774952973922293,120.93925142595046,24.828011624187145,121.00957212313058,周六,10,5,1042.642,1526.0,11799.327
24.79063773898321,120.98585953591356,24.76545533383322,121.01368929141243,周一早峰,8,0,387.794,989.0,4572.91
24.79063773898321,120.98585953591356,24.76545533383322,121.01368929141243,周一晚峰,18,0,387.794,807.0,4572.91
24.79063773898321,120.98585953591356,24.76545533383322,121.01368929141243,周一下午,14,0,387.794,649.0,4572.91
24.79063773898321,120.98585953591356,24.76545533383322,121.01368929141243,周六,10,5,387.794,618.0,4572.91
24.836460569621998,121.01785854296378,24.83107717199404,121.00932745841969,周一早峰,8,0,141.403,335.0,1644.559
24.836460569621998,121.01785854296378,24.83107717199404,121.00932745841969,周一晚峰,18,0,141.403,362.0,1644.559
